year,county,yield_bu_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
2010,PARMER,28.4,185400,140400,1909.927608,75028.71024,56817.85824,108517996.1
2010,POTTER,30.1,14400,8900,2024.254261,5827.47264,3601.70184,7290760.295
2010,RANDALL,29.1,107800,82900,1957.003288,43625.10768,33548.43624,65654400.05
2010,REAGAN,15.6,13300,3900,1049.115165,5382.31848,1578.27384,1655791.02
2010,REEVES,35.8,900,500,2407.584802,364.21704,202.3428,487157.45
2010,ROBERTS,38.4,10700,6500,2582.437329,4330.13592,2630.4564,6792988.8
2010,RUNNELS,37.7,130800,109800,2535.361649,52932.87648,44434.47888,112657473.6
2010,SAN SABA,37.7,17500,13000,2535.361649,7081.998,5260.9128,13338316.55
2010,SCHLEICHER,22.9,7100,4600,1540.047261,2873.26776,1861.55376,2866880.77
2010,SCURRY,26.6,27200,7200,1788.875858,11007.44832,2913.73632,5212312.56
2010,SHACKELFORD,28.9,22100,14200,1943.553094,8943.55176,5746.53552,11168696.89
2010,SHERMAN,39.2,128000,108100,2636.238107,51799.7568,43746.51336,115326225.6
